,k,Model,MAE,MSE,RMSE,R2E
0,7,LR,113.062594,23149.562386,152.149802,0.986732
1,7,XGB,115.296159,22554.480343,150.181491,0.987073
2,7,dtree,148.952346,36958.307994,192.245437,0.978818
3,7,rf,119.822333,24032.959360,155.025673,0.986226
4,8,LR,112.771864,22992.549633,151.632944,0.986822
5,8,XGB,115.444235,22612.284472,150.373816,0.987040
6,8,dtree,152.688423,38637.663574,196.564655,0.977855
7,8,rf,120.411121,24284.879443,155.836066,0.986081
8,9,LR,106.243707,19207.356178,138.590606,0.988991
9,9,XGB,121.371869,25184.292848,158.695598,0.985566
10,9,dtree,149.786839,38063.901499,195.099722,0.978184
11,9,rf,118.747420,22989.065275,151.621454,0.986824
12,10,LR,107.046806,19341.954915,139.075357,0.988914
13,10,XGB,120.814572,23994.997788,154.903188,0.986247
14,10,dtree,149.986077,39986.326538,199.965813,0.977082
15,10,rf,118.469013,23396.759210,152.959992,0.986590
16,11,LR,94.191836,15689.925934,125.259435,0.991007
17,11,XGB,112.484915,21514.540768,146.678358,0.987669
18,11,dtree,141.175144,33010.915454,181.689063,0.981080
19,11,rf,115.204080,21854.544192,147.832825,0.987474
